profile1,profile2,profile3,profile4,profile5,profile6
"age: 22, body_type: a little extra, education: working on college/university, height: 75.0, job: transportation, orientation: straight, pets: likes dogs and likes cats, religion: agnosticism and very serious about it, sex: m, smokes: sometimes, speaks: english, status: single","age: 24, body_type: athletic, education: working on college/university, height: 73.0, job: medicine / health, orientation: straight, pets: likes dogs, religion: christianity but not too serious about it, sex: m, smokes: yes, speaks: english (fluently), status: single","age: 25, body_type: nan, education: graduated from college/university, height: 69.0, job: computer / hardware / software, orientation: straight, pets: likes dogs, religion: nan, sex: m, smokes: no, speaks: english, status: single","age: 22, body_type: athletic, education: nan, height: 74.0, job: nan, orientation: straight, pets: likes dogs and likes cats, religion: nan, sex: m, smokes: no, speaks: english, french, spanish, status: single","age: 25, body_type: fit, education: graduated from college/university, height: 67.0, job: construction / craftsmanship, orientation: straight, pets: likes dogs and likes cats, religion: other, sex: m, smokes: trying to quit, speaks: english (fluently), german (okay), spanish (poorly), status: single","age: 20, body_type: a little extra, education: working on college/university, height: 62.0, job: student, orientation: straight, pets: nan, religion: agnosticism, sex: f, smokes: no, speaks: english, status: single"
"age: 35, body_type: average, education: working on space camp, height: 70.0, job: hospitality / travel, orientation: straight, pets: likes dogs and likes cats, religion: agnosticism but not too serious about it, sex: m, smokes: no, speaks: english (fluently), spanish (poorly), french (poorly), status: single","age: 31, body_type: fit, education: graduated from college/university, height: 75.0, job: sales / marketing / biz dev, orientation: straight, pets: likes dogs, religion: nan, sex: m, smokes: no, speaks: english, german (fluently), status: single","age: 31, body_type: average, education: graduated from college/university, height: 71.0, job: law / legal services, orientation: straight, pets: likes dogs and has cats, religion: christianity but not too serious about it, sex: m, smokes: no, speaks: english, status: single","age: 18, body_type: curvy, education: working on high school, height: 60.0, job: student, orientation: gay, pets: has dogs, religion: christianity and somewhat serious about it, sex: f, smokes: sometimes, speaks: english, spanish (okay), status: single","age: 24, body_type: fit, education: graduated from college/university, height: 70.0, job: computer / hardware / software, orientation: straight, pets: nan, religion: atheism but not too serious about it, sex: m, smokes: no, speaks: english (fluently), c++ (fluently), vietnamese (poorly), yiddish (poorly), status: single","age: 25, body_type: fit, education: working on college/university, height: 72.0, job: other, orientation: straight, pets: likes dogs and likes cats, religion: agnosticism but not too serious about it, sex: m, smokes: no, speaks: english (fluently), italian (okay), japanese (poorly), welsh (poorly), french (poorly), status: single"
"age: 39, body_type: thin, education: graduated from masters program, height: 68.0, job: nan, orientation: straight, pets: has cats, religion: nan, sex: m, smokes: no, speaks: english, french, c++, status: single","age: 25, body_type: average, education: graduated from college/university, height: 65.0, job: science / tech / engineering, orientation: straight, pets: likes dogs, religion: other and very serious about it, sex: m, smokes: nan, speaks: english (fluently), hindi (fluently), other (poorly), status: single","age: 25, body_type: average, education: working on college/university, height: 65.0, job: student, orientation: straight, pets: has dogs and likes cats, religion: catholicism but not too serious about it, sex: m, smokes: no, speaks: english (fluently), status: single","age: 25, body_type: jacked, education: graduated from college/university, height: 61.0, job: student, orientation: straight, pets: likes dogs, religion: christianity, sex: f, smokes: no, speaks: english (okay), chinese (fluently), status: single","age: 24, body_type: curvy, education: graduated from masters program, height: 64.0, job: nan, orientation: straight, pets: has dogs and likes cats, religion: atheism, sex: f, smokes: no, speaks: english, italian (fluently), status: single","age: 29, body_type: curvy, education: working on college/university, height: 66.0, job: artistic / musical / writer, orientation: straight, pets: dislikes dogs and likes cats, religion: other and laughing about it, sex: f, smokes: no, speaks: english, status: single"
"age: 23, body_type: thin, education: working on college/university, height: 71.0, job: student, orientation: straight, pets: likes cats, religion: nan, sex: m, smokes: no, speaks: english, german (poorly), status: single","age: 27, body_type: a little extra, education: working on college/university, height: 70.0, job: student, orientation: straight, pets: likes dogs and likes cats, religion: christianity but not too serious about it, sex: m, smokes: sometimes, speaks: english (fluently), spanish (poorly), status: single","age: 36, body_type: curvy, education: graduated from masters program, height: 62.0, job: entertainment / media, orientation: gay, pets: has dogs and likes cats, religion: nan, sex: f, smokes: no, speaks: english, status: single","age: 32, body_type: average, education: graduated from two-year college, height: 71.0, job: computer / hardware / software, orientation: straight, pets: likes dogs and likes cats, religion: nan, sex: m, smokes: no, speaks: english (fluently), spanish (poorly), chinese (poorly), status: single","age: 40, body_type: fit, education: graduated from college/university, height: 68.0, job: medicine / health, orientation: straight, pets: likes dogs and has cats, religion: judaism and somewhat serious about it, sex: f, smokes: no, speaks: english, french (fluently), spanish (poorly), status: single","age: 27, body_type: nan, education: dropped out of space camp, height: 67.0, job: student, orientation: straight, pets: likes dogs and likes cats, religion: buddhism and laughing about it, sex: m, smokes: sometimes, speaks: english (fluently), german (poorly), spanish (poorly), status: seeing someone"
"age: 29, body_type: athletic, education: graduated from college/university, height: 66.0, job: artistic / musical / writer, orientation: straight, pets: likes dogs and likes cats, religion: nan, sex: m, smokes: no, speaks: english, status: single","age: 48, body_type: fit, education: graduated from college/university, height: 69.0, job: artistic / musical / writer, orientation: gay, pets: likes dogs and likes cats, religion: agnosticism but not too serious about it, sex: m, smokes: no, speaks: english (fluently), status: single","age: 23, body_type: fit, education: working on college/university, height: 72.0, job: education / academia, orientation: straight, pets: likes dogs and likes cats, religion: atheism and somewhat serious about it, sex: m, smokes: no, speaks: english, status: single","age: 30, body_type: average, education: graduated from masters program, height: 70.0, job: other, orientation: straight, pets: likes dogs, religion: agnosticism but not too serious about it, sex: m, smokes: no, speaks: english, status: seeing someone","age: 51, body_type: average, education: dropped out of college/university, height: 70.0, job: rather not say, orientation: gay, pets: has dogs and has cats, religion: catholicism but not too serious about it, sex: m, smokes: no, speaks: english (fluently), spanish (poorly), status: single","age: 36, body_type: fit, education: graduated from college/university, height: 69.0, job: other, orientation: straight, pets: likes dogs and dislikes cats, religion: agnosticism, sex: m, smokes: no, speaks: english, farsi, status: single"
"age: 30, body_type: average, education: graduated from college/university, height: 67.0, job: computer / hardware / software, orientation: straight, pets: likes cats, religion: atheism, sex: m, smokes: no, speaks: english (fluently), chinese (okay), status: single","age: 33, body_type: fit, education: graduated from masters program, height: 69.0, job: banking / financial / real estate, orientation: straight, pets: has dogs and likes cats, religion: christianity and somewhat serious about it, sex: m, smokes: no, speaks: english, status: single","age: 18, body_type: skinny, education: working on high school, height: 67.0, job: student, orientation: gay, pets: dislikes dogs and has cats, religion: nan, sex: m, smokes: yes, speaks: english, status: single","age: 33, body_type: fit, education: graduated from college/university, height: 62.0, job: sales / marketing / biz dev, orientation: straight, pets: likes dogs and likes cats, religion: agnosticism, sex: f, smokes: no, speaks: english, status: single","age: 31, body_type: jacked, education: graduated from college/university, height: 68.0, job: computer / hardware / software, orientation: straight, pets: likes dogs and likes cats, religion: agnosticism and laughing about it, sex: m, smokes: no, speaks: english, spanish, c++, status: single","age: 22, body_type: fit, education: graduated from college/university, height: 63.0, job: nan, orientation: straight, pets: nan, religion: nan, sex: f, smokes: no, speaks: english (fluently), chinese (okay), status: single"
"age: 32, body_type: fit, education: graduated from college/university, height: 65.0, job: nan, orientation: straight, pets: likes dogs and likes cats, religion: nan, sex: f, smokes: nan, speaks: english, status: single","age: 27, body_type: nan, education: working on college/university, height: 71.0, job: entertainment / media, orientation: gay, pets: likes dogs, religion: atheism and somewhat serious about it, sex: m, smokes: no, speaks: english (fluently), french (okay), status: seeing someone","age: 27, body_type: average, education: graduated from ph.d program, height: 70.0, job: science / tech / engineering, orientation: straight, pets: likes dogs, religion: nan, sex: m, smokes: no, speaks: english, tamil (okay), hindi (poorly), status: single","age: 30, body_type: nan, education: graduated from college/university, height: 63.0, job: banking / financial / real estate, orientation: straight, pets: has dogs and dislikes cats, religion: atheism, sex: f, smokes: sometimes, speaks: english (fluently), farsi (okay), spanish (poorly), status: single","age: 35, body_type: athletic, education: graduated from college/university, height: 69.0, job: nan, orientation: straight, pets: likes dogs, religion: nan, sex: m, smokes: no, speaks: english, spanish (okay), japanese (poorly), status: single","age: 36, body_type: nan, education: working on ph.d program, height: 75.0, job: education / academia, orientation: straight, pets: nan, religion: atheism, sex: m, smokes: no, speaks: english (fluently), croatian (fluently), serbian (fluently), slovenian (fluently), russian (fluently), status: seeing someone"
"age: 31, body_type: average, education: graduated from college/university, height: 65.0, job: artistic / musical / writer, orientation: straight, pets: likes dogs and likes cats, religion: christianity, sex: f, smokes: no, speaks: english, spanish (okay), status: single","age: 25, body_type: nan, education: working on masters program, height: 68.0, job: student, orientation: gay, pets: likes dogs and likes cats, religion: atheism and laughing about it, sex: m, smokes: no, speaks: english (fluently), chinese (fluently), french (fluently), german (okay), status: single","age: 28, body_type: skinny, education: nan, height: 72.0, job: education / academia, orientation: straight, pets: nan, religion: judaism and laughing about it, sex: m, smokes: no, speaks: english, status: single","age: 38, body_type: average, education: graduated from college/university, height: 64.0, job: construction / craftsmanship, orientation: straight, pets: has dogs, religion: atheism and laughing about it, sex: f, smokes: no, speaks: english (fluently), spanish (poorly), status: single","age: 26, body_type: athletic, education: graduated from college/university, height: 67.0, job: entertainment / media, orientation: straight, pets: likes dogs, religion: christianity but not too serious about it, sex: f, smokes: no, speaks: english, status: single","age: 49, body_type: fit, education: graduated from college/university, height: 63.0, job: medicine / health, orientation: straight, pets: has dogs, religion: other, sex: f, smokes: no, speaks: english (fluently), spanish (okay), status: single"
"age: 25, body_type: nan, education: graduated from college/university, height: 67.0, job: nan, orientation: straight, pets: likes dogs and likes cats, religion: christianity but not too serious about it, sex: f, smokes: when drinking, speaks: english, status: single","age: 35, body_type: average, education: college/university, height: 68.0, job: sales / marketing / biz dev, orientation: straight, pets: likes dogs and likes cats, religion: nan, sex: m, smokes: no, speaks: english, status: single","age: 29, body_type: a little extra, education: dropped out of college/university, height: 78.0, job: executive / management, orientation: straight, pets: likes dogs and has cats, religion: atheism and somewhat serious about it, sex: m, smokes: no, speaks: english (fluently), french (okay), japanese (poorly), german (poorly), status: single","age: 28, body_type: nan, education: graduated from college/university, height: 67.0, job: banking / financial / real estate, orientation: straight, pets: likes dogs, religion: nan, sex: f, smokes: nan, speaks: english (fluently), chinese (fluently), french (okay), status: single","age: 31, body_type: athletic, education: graduated from college/university, height: 72.0, job: computer / hardware / software, orientation: straight, pets: likes dogs and likes cats, religion: judaism but not too serious about it, sex: m, smokes: no, speaks: english, status: single","age: 26, body_type: average, education: graduated from college/university, height: 60.0, job: nan, orientation: straight, pets: likes dogs and likes cats, religion: nan, sex: f, smokes: no, speaks: english (fluently), sign language (okay), spanish (poorly), status: single"
"age: 36, body_type: athletic, education: working on two-year college, height: 65.0, job: student, orientation: straight, pets: likes dogs and likes cats, religion: atheism and laughing about it, sex: m, smokes: no, speaks: english (fluently), status: single","age: 31, body_type: a little extra, education: dropped out of two-year college, height: 71.0, job: rather not say, orientation: straight, pets: likes dogs and likes cats, religion: catholicism but not too serious about it, sex: m, smokes: no, speaks: english, status: single","age: 24, body_type: average, education: graduated from college/university, height: 73.0, job: military, orientation: straight, pets: likes dogs and likes cats, religion: catholicism but not too serious about it, sex: m, smokes: no, speaks: english (fluently), spanish (fluently), status: single","age: 43, body_type: fit, education: graduated from college/university, height: 67.0, job: education / academia, orientation: straight, pets: has dogs and has cats, religion: nan, sex: f, smokes: trying to quit, speaks: english, status: single","age: 30, body_type: athletic, education: graduated from college/university, height: 72.0, job: medicine / health, orientation: straight, pets: likes dogs, religion: nan, sex: f, smokes: no, speaks: english, status: single","age: 28, body_type: curvy, education: working on college/university, height: 67.0, job: hospitality / travel, orientation: straight, pets: has cats, religion: nan, sex: f, smokes: yes, speaks: english, status: single"
